"year","doy","pond","site","sampletype","doc_mgl","tn_ugl","tp_ugl","no23_ugl","srp_ugl","nh4_ugl","chloride_mgl","x440","stormnum","timetostorm"
2022,143,"Strickers","0","C",14.27,4032.19,352.997,4.136,20.314,84.679,96.21,NA,1,-2
2022,158,"Strickers","0","C",13.98,4529.169,169.562,9.213,14.734,55.644,69.15,NA,2,2
2022,158,"Strickers","0","P",NA,NA,NA,19.874,62.804,71.17,NA,NA,2,2
2022,158,"Strickers","0","C",13.98,4529.169,169.562,9.213,14.734,55.644,69.15,NA,3,-1
2022,158,"Strickers","0","P",NA,NA,NA,19.874,62.804,71.17,NA,NA,3,-1
2022,164,"Strickers","0","C",13.115,4660.563,706.122,13.032,46.426,55.801,67.72,NA,4,-2
2023,184,"Strickers","0","C",14.3,5006.93,702.731,9.97,16.051,12.475,207.8865,0.00958685593690824,5,-1
2023,186,"Strickers","0","C",14.8,9470.381,610.058,21.353,20.96,11.265,NA,0.0101690438585353,5,1
2023,187,"Strickers","0","C",12.1,4188.717,612.586,NA,NA,NA,NA,0.0109573459412302,5,2
2023,191,"Strickers","0","C",11.8,5065.716,379.971,9.539,10.351,8.647,132.3164,0.0079395129984485,6,-2
2023,194,"Strickers","0","C",9.88,6548.435,483.5,-0.424,6.963,1.279,97.0768,0.00700822984121564,6,1
2023,208,"Strickers","0","C",10.55,6670.399,621.3915,3.893,5.655,16.528,87.4958,0.00920923903655988,7,-1
2023,210,"Strickers","9","S",8.939,3829.231,389.6175,5.549,7.216,22.029,NA,0.00957380055960475,7,1
2023,229,"Strickers","0","C",7.552,4867.142,683.3105,2.248,8.804,10.419,NA,0.00678272039619418,8,3
2023,267,"Strickers","9","V",17.63,13061.916,1302.85,1.9435,20.29,17.135,56.1288,NA,9,-1
2024,89,"Strickers","0","S",5.403,1876.071,140.673,2.599,16.721,2.114,89.154,0.00972013835707641,10,-3
2024,130,"Strickers","0","S",6.44,2755.641,259.783,4.099,14.449,4.955,61.0039,0.00645167919890682,12,2
2024,131,"Strickers","9","V",9.262,1968.259,325.374,7.66,27.57,6.601,60.3918,NA,12,3
2024,145,"Strickers","9","S",6.859,1894.274,189.527,4.214,10.194,6.722,39.9266,NA,13,3
2024,145,"Strickers","0","S",NA,NA,NA,NA,NA,NA,NA,0.00958527610409741,13,3
2024,145,"Strickers","9","S",6.859,1894.274,189.527,4.214,10.194,6.722,39.9266,NA,14,0
2024,148,"Strickers","9","V",6.712,1489.03,169.451,5.9495,14.8005,3.7435,26.3348,NA,14,3
2024,145,"Strickers","0","S",NA,NA,NA,NA,NA,NA,NA,0.00958527610409741,14,0
2024,157,"Strickers","0","C",6.141,2721.782,270.143,5.074,27.204,3.299,22.1378,NA,15,2
2024,161,"Strickers","9","V",7.482,2815.961,303.859,12.436,47.796,7.597,22.7503,NA,16,-3
2024,164,"Strickers","0","C",6.365,2005.593,348.9735,5.645,18.14,2.741,23.7102,0.00948539292345625,16,0
2024,170,"Strickers","0","C",7.895,2623.577,349.878,6.896,29.796,4.95,23.8232,0.00909373558142956,17,-3
2024,176,"Strickers","9","S",6.218,2529.64,255.882,5.955,10.895,3.02,17.436,0.00933326262921549,17,3
2024,176,"Strickers","9","V",9.1595,2908.421,391.593,9.169,9.641,1.116,19.7903,NA,17,3
2024,176,"Strickers","9","S",6.218,2529.64,255.882,5.955,10.895,3.02,17.436,0.00933326262921549,18,0
2024,176,"Strickers","9","V",9.1595,2908.421,391.593,9.169,9.641,1.116,19.7903,NA,18,0
2024,178,"Strickers","0","C",7.126,2013.36,235.643,5.052,12.983,3.207,16.7952,0.00783451160686667,18,2
2024,178,"Strickers","0","C",7.126,2013.36,235.643,5.052,12.983,3.207,16.7952,0.00783451160686667,19,-2
2024,183,"Strickers","9","S",15.48,2433.813,209.74,3.248,7.232,1.799,14.2873,0.0117433587919384,19,3
2024,183,"Strickers","9","S",15.48,2433.813,209.74,3.248,7.232,1.799,14.2873,0.0117433587919384,20,-1
2024,185,"Strickers","9","S",7.422,1831.504,183.573,4.374,8.368,2.7555,9.9079,0.0135542839754969,20,1
2024,195,"Strickers","9","V",6.301,2981.38,298.979,9.92,9.943,15.698,10.42075,NA,21,0
2024,207,"Strickers","0","C",5.341,4547.507,368.0175,5.013,10.256,2.915,6.6167,0.00999914657301013,23,2
2024,208,"Strickers","9","V",7.414,4799.019,475.575,11.392,9.388,40.717,6.4009,NA,23,3
2024,218,"Strickers","9","S",6.46,2765.287,379.787,27.875,13.682,1.415,8.8779,0.020647936833563,24,-1
2024,219,"Strickers","9","S",6.596,2962.057,375.167,3.586,9.821,3.116,7.2801,0.00941627307752927,24,0
2024,220,"Strickers","0","C",6.56,5531.209,420.8235,3.572,28.913,2.567,8.7888,0.00742763442491796,24,1
2024,264,"Strickers","9","V",13.33,5497.539,498.535,9.65,8.423,8.321,10.5282,NA,26,1
2024,264,"Strickers","9","V",13.33,5497.539,498.535,9.65,8.423,8.321,10.5282,NA,27,-1
2024,267,"Strickers","0","S",7.495,2093.781,188.522,NA,NA,NA,6.3009,0.0119537071762948,27,2
2024,306,"Strickers","0","C",8.1315,2472.082,335.552,NA,NA,NA,8.0362,0.0156375170744131,28,2
2024,307,"Strickers","9","V",8.408,2157.642,299.785,NA,NA,NA,7.895,NA,28,3
2023,208,"Tiedemans","0","C",12.91,8144.138,414.449,2.729,3.591,8.231,99.3705,0.0137570928458403,29,-1
2023,210,"Tiedemans","0","S",10.47,2209.425,378.7325,4.764,2.992,13.075,NA,0.0103969019743578,29,1
2024,89,"Tiedemans","0","S",6.056,1171.834,67.61,1.004,58.016,85.317,60.6173,0.0049747518484131,32,-3
2024,127,"Tiedemans","0","V",7.441,1038.845,97.977,2.803,14.646,2.681,75.3552,NA,33,-1
2024,130,"Tiedemans","0","S",5.827,1320.795,137.375,2.53,13.775,5.374,58.8807,0.00789550699407352,33,2
2024,140,"Tiedemans","0","V",9.271,2019.106,217.929,2.527,12.516,2.138,65.4077,NA,34,-2
2024,145,"Tiedemans","0","C",8.527,2733.225,248.822,3.7,141.919,3.219,44.8769,0.00730627613410709,34,3
2024,145,"Tiedemans","0","C",8.527,2733.225,248.822,3.7,141.919,3.219,44.8769,0.00730627613410709,35,0
2024,178,"Tiedemans","0","C",8.776,NA,509.7865,7.864,59.502,1.974,22.24685,0.0127237557178407,37,-2
2024,182,"Tiedemans","0","V",12.365,5306.318,622.2465,4.853,7.747,1.248,19.0563,NA,37,2
2024,183,"Tiedemans","0","S",8.362,3855.57,435.268,5.051,10.452,3.253,19.4607,0.0150285407333113,37,3
2024,182,"Tiedemans","0","V",12.365,5306.318,622.2465,4.853,7.747,1.248,19.0563,NA,38,-2
2024,183,"Tiedemans","0","S",8.362,3855.57,435.268,5.051,10.452,3.253,19.4607,0.0150285407333113,38,-1
2024,185,"Tiedemans","0","S",15.78,2658.869,287.538,4.923,9.534,5.653,13.8126,0.0130370300652325,38,1
