"stormnum","stormdoy","year","pond","rise_chl_slope","rise_pc_slope","rise_points","post2_chl_slope","post3_chl_slope","post10_chl_slope","post2_pc_slope","post3_pc_slope","post10_pc_slope","delay_chl_slope","delay_pc_slope","delay_points","pre_chl_ugl","pre_pc_ugl","endrise_chl_ugl","endrise_pc_ugl","rise_chl_percch","rise_pc_percch","post10_chl_percch","post10_pc_percch","raindoy","precip_mm","risestarttime","riseendtime","startdepth","bounce_m","risetime_hr","nextstormstart","endstorm_doy","cumprecip","dayssinceprevstorm","rain_10daysprev","pre_tempdiff","post_tempdiff","delta_tempdiff","daylight_hr","avgwatertemp_C","delta_doc","delta_tn","delta_tp","delta_no23","delta_srp","delta_nh4","delta_cl","delta_g440","post_doc_mgl","post_tn_ugl","post_tp_ugl","post_no23_ugl","post_srp_ugl","post_nh4_ugl","post_chloride_mgl","post_g440"
1,145,2022,"Strickers",-11.3364892944587,-0.361478768238936,3,-11.3364892944587,0.174102112095954,29.5319376655862,-0.361478768238936,0.0900526054209226,2.20417415319239,34.9317260119499,2.7191236233083,9,90.1421393110517,3.84498267583588,67.4691607221352,3.12202513935805,-25.1524744833048,-18.8026214271747,327.615229584034,573.259839906354,146,44.45,2022-05-25 10:30:00,2022-05-26 20:15:00,0.836020140349993,0.192424426505277,33.75,2022-06-05 05:30:00,156,163.957,"34",10.668,0.0960000000000001,3.045,2.949,15.0939393939394,20.6633242961418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,156,2022,"Strickers",-3.85228219523632,1.24069660032041,3,-3.85228219523632,-4.40099170245769,NA,1.24069660032041,1.32014582853963,NA,-7.460384689357,1.01670659866778,2,305.582088125077,27.3971635291064,297.877523734604,29.8785567297472,-2.52127486847957,9.05711716471895,NA,NA,156,22.987,2022-06-05 05:30:00,2022-06-06 04:15:00,0.912604378879259,0.0509857673272369,22.75,2022-06-08 08:00:00,159,215.011,"11",44.831,-0.0949999999999989,-0.0949999999999989,0,15.2416666666667,20.2331672240803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,159,2022,"Strickers",-46.1638599165272,-3.05265648911373,2,-42.1279466452503,-24.6615542523888,NA,-2.17597535014279,-1.43140518836391,NA,0.654194570902931,1.4128474663373,7,290.417139045247,30.895263328415,244.253279128719,27.8426068393012,-15.8957078319454,-9.880661823996,NA,NA,160,22.098,2022-06-08 08:00:00,2022-06-08 13:00:00,0.938678146135765,0.0801882852352052,5,2022-06-15 18:45:00,166,232.791,"3",24.13,0.0949999999999989,0.381,0.286000000000001,15.3125,21.9966354748603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,166,2022,"Strickers",-92.4051426651153,-11.5845700967963,2,-47.7619465782992,-25.0794390254355,-0.376935494271489,-7.00583903243702,-6.10308068829036,-0.778013001313165,4.38730584830546,0.0781916433923674,10,228.109626043607,33.4710215127644,135.704483378491,21.886451415968,-40.5090939246249,-34.6107455739839,-1.6524313366742,-23.2443757659581,167,40.132,2022-06-15 18:45:00,2022-06-15 22:00:00,0.930558036223081,0.241388000038409,3.25,2022-06-25 18:45:00,176,265.049,"7",50.038,-0.0999999999999979,0.196000000000002,0.295999999999999,15.3636363636364,26.1453888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,185,2023,"Strickers",101.345833333337,13.219666666667,3,101.345833333337,57.1119666666666,NA,13.219666666667,8.40479999999999,NA,-58.5092380952369,-7.70084523809507,7,274.319,37.743,477.010666666667,64.1823333333333,73.8890367297466,70.0509586766659,NA,NA,186,42.672,2023-07-04 09:30:00,2023-07-05 19:00:00,0.750127097359104,0.160126777945292,33.5,2023-07-12 12:00:00,193,154.686,"57",15.367,0.489000000000001,1.18,0.690999999999999,15.212962962963,26.3381187081258,0.5,4463.451,-92.673,11.383,4.909,-1.21,NA,0.1340778964,12.1,4188.717,612.586,NA,NA,NA,NA,2.5234767838
6,193,2023,"Strickers",-22.6337666666667,-2.19676666666667,4,-28.7918333333347,-22.6337666666667,-0.278509090909055,-2.97116666666681,-2.19676666666667,2.38735454545457,4.76194047619046,3.6892579365079,8,165.927,24.635,104.740333333333,18.822,-40.9223935827201,-26.7517759285569,-1.67850374507497,96.9090540066803,194,68.707,2023-07-12 12:00:00,2023-07-14 21:00:00,0.886331781320622,0.252971318429378,57,2023-07-28 21:40:00,209,198.12,"8",43.434,-0.387,1.747,2.134,15.0090909090909,24.744142936519,-1.92,1482.719,103.529,-9.963,-3.388,-7.368,-35.2396,-0.2144744749,9.88,6548.435,483.5,-0.424,6.963,1.279,97.0768,1.613995369
7,209,2023,"Strickers",-11.6219999999998,-6.74733333333327,2,9.89633333333359,19.1823666666667,29.3483333333334,-2.23016666666669,0.543600000000004,5.44400303030305,34.1052424242426,6.72046464646468,10,204.662333333333,53.6276666666667,193.040333333333,46.8803333333333,-5.67862186007188,-12.5818141133618,143.398801603292,101.51482189485,210,53.848,2023-07-28 21:40:00,2023-07-28 23:20:00,0.9970615847333,0.32392052127373,1.66666666666667,2023-08-14 05:50:00,226,292.227,"16",22.225,5.029,4.587,-0.442,14.4954545454545,26.1663049546406,-1.611,-2841.168,-231.774,1.656,1.561,5.501,NA,0.0839586286,8.939,3829.231,389.6175,5.549,7.216,22.029,NA,2.2048463703
8,226,2023,"Strickers",3.15133333333317,-4.67866666666644,2,98.5278333333386,112.352533333333,23.5343727272727,7.06416666666711,10.2511,2.73107575757575,15.8060909090909,2.03031515151515,10,122.172666666667,39.1766666666667,125.324,34.498,2.57940946965757,-11.9424827703559,192.632062222914,69.7117950542606,226,57.658,2023-08-14 05:50:00,2023-08-14 12:00:00,0.98502804928633,0.24246533196666,6.16666666666667,2023-09-25 00:00:00,268,370.967,"17",6.858,0,3.628,3.628,13.8,24.1047165485619,NA,NA,NA,NA,NA,NA,NA,NA,7.552,4867.142,683.3105,2.248,8.804,10.419,NA,1.562060416
9,268,2023,"Strickers",-18.5053666666671,-3.96556666666677,5,-1.59400000000008,-7.44756666666668,-6.17042424242424,1.42366666666668,-1.95083333333334,-2.1644696969697,6.70057142857129,-0.366535714285705,7,307.044,70.0766666666667,227.707,55.187,-24.1077717417271,-22.6355895923518,-20.0962215266354,-30.8871668691867,268,55.499,2023-09-25 00:00:00,2023-09-27 18:00:00,0.90881739262846,0.17854776100518,66,2023-10-05 00:00:00,278,462.28,"42",18.542,-0.0961099999999995,0.760559999999998,0.856669999999998,11.7878787878788,20.5576778805719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,92,2024,"Strickers",-8.08200000000019,-0.0915000000000042,3,-8.08200000000019,-6.1867,2.66702424242425,-0.0915000000000042,-0.0138666666666666,0.14909090909091,5.21117777777778,0.219666666666667,9,67.632,4.05166666666667,51.468,3.86866666666667,-23.8999290276798,-4.51665981077767,39.4343541877255,36.7974271717588,93,67.056,2024-04-01 14:00:00,2024-04-02 16:30:00,1.22044450617875,0.12987653383307,26.5,2024-04-16 18:30:00,107,119.888,"6",43.942,0.0994444444444404,0,-0.0994444444444404,12.9909090909091,8.17403680555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,107,2024,"Strickers",8.44650000000011,1.8071666666667,3,8.44650000000011,8.55693333333333,1.27964545454546,1.8071666666667,1.32376666666667,-0.0525575757575728,-0.37795,-0.490538888888889,9,44.6566666666667,12.1003333333333,61.5496666666667,15.7146666666667,37.8286183473917,29.8697005592138,28.6551941750868,-4.34348164713695,108,27.813,2024-04-16 18:30:00,2024-04-17 00:00:00,1.07850567839584,0.09991295130374,5.5,2024-05-07 14:05:00,128,148.717,"15",6.223,0,0.0949999999999989,0.0949999999999989,13.6924242424242,13.2344809160305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,128,2024,"Strickers",-2.52799999999998,0.352,2,-15.580666666667,-10.7334333333333,-0.333036363636357,-1.34083333333337,-0.825766666666667,-0.278790909090909,0.670905050505043,-0.226347474747475,10,98.548,14.304,96.02,14.656,-2.56524739213376,2.46085011185682,-3.37943300357548,-19.4904159040065,129,45.72,2024-05-07 14:05:00,2024-05-07 21:55:00,0.960453598669672,0.133170712771288,7.83333333333333,2024-05-21 19:30:00,142,202.565,"21",19.304,NA,NA,NA,14.5590909090909,18.9153240200167,NA,NA,NA,NA,NA,NA,NA,NA,6.44,2755.641,259.783,4.099,14.449,4.955,61.0039,1.4858216737
13,142,2024,"Strickers",0.675333333333321,-0.450666666666647,2,-12.8213333333341,-22.0096,NA,-0.642000000000031,-2.05843333333333,NA,-32.6340000000014,-3.06650000000016,3,111.988666666667,12.518,112.664,12.0673333333333,0.603037212098832,-3.60014911860239,NA,NA,143,47.625,2024-05-21 19:30:00,2024-05-21 23:00:00,0.9629224892442,0.26647711961779,3.5,2024-05-24 10:00:00,145,275.463,"14",16.51,0,1.4288888888889,1.4288888888889,14.9125,20.745960021322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,145,2024,"Strickers",-3.97299999999997,-0.80266666666666,2,-7.39116666666702,-3.58563333333333,3.12589696969701,-1.09266666666672,-0.354866666666666,0.276427272727276,4.1253818181818,0.382260606060605,10,47.396,5.93433333333333,43.423,5.13166666666667,-8.38256392944546,-13.5258102566982,65.9527590872016,46.5810154570482,146,52.578,2024-05-24 10:00:00,2024-05-24 21:50:00,1.14983264661688,0.30934161549861,11.8333333333333,2024-06-03 12:50:00,155,323.088,"3",55.753,0.571111111111097,0.57,-0.00111111111109707,15.0833333333333,20.1365127242386,-0.147,-405.244,-20.076,1.7355,4.6065,-2.9785,-13.5918,NA,6.712,1489.03,169.451,5.9495,14.8005,3.7435,26.3348,NA
15,155,2024,"Strickers",-11.9266666666661,-0.858666666666625,2,2.1280000000001,5.29706666666667,NA,-0.135666666666666,-0.0698666666666665,NA,4.61355555555555,-0.233705555555555,9,80.7433333333333,8.721,68.8166666666667,7.86233333333333,-14.7710853321217,-9.84596567671856,NA,NA,156,14.351,2024-06-03 12:50:00,2024-06-03 19:10:00,1.04392938015981,0.0741272807593301,6.33333333333333,2024-06-12 17:25:00,164,425.196,"10",102.108,0.4788888888889,0.671111111111102,0.192222222222203,15.27,22.5526537705909,NA,NA,NA,NA,NA,NA,NA,NA,6.141,2721.782,270.143,5.074,27.204,3.299,22.1378,NA
16,164,2024,"Strickers",-1.14500000000012,0.484500000000004,3,-1.14500000000012,-2.72796666666668,NA,0.484500000000004,0.322733333333333,NA,1.58615873015873,0.865654761904759,8,114.156333333333,6.815,111.866333333333,7.784,-2.00602098292129,14.2186353631696,NA,NA,165,12.446,2024-06-12 17:25:00,2024-06-13 07:00:00,0.917764701692928,0.052001112564468,13.5833333333333,2024-06-21 14:30:00,173,455.676,"9",30.48,NA,0.670555555555598,NA,15.355,25.9125118567511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,173,2024,"Strickers",-10.515666666667,-0.709000000000023,3,-10.515666666667,-16.2463333333333,NA,-0.709000000000023,-0.7554,NA,-22.9639999999989,-0.403333333333312,2,119.080666666667,13.5776666666667,98.0493333333333,12.1596666666667,-17.6614171905884,-10.4436206515605,NA,NA,174,48.006,2024-06-21 14:30:00,2024-06-22 22:00:00,0.919354891466874,0.234830559758856,31.5,2024-06-24 19:05:00,176,481.584,"9",25.908,2.9472222222222,1.6488888888889,-1.2983333333333,15.3666666666667,25.7500313315927,NA,NA,NA,NA,NA,NA,NA,NA,6.218,2529.64,255.882,5.955,10.895,3.02,17.436,2.1494504689
18,176,2024,"Strickers",-5.83666666666661,-0.593999999999994,2,-9.15000000000045,-4.97783333333334,NA,0.0730000000000119,0.145299999999999,NA,-2.07543333333333,0.00946666666666867,4,75.0853333333333,11.7563333333333,69.2486666666667,11.1623333333333,-7.77337784565109,-5.05259576398532,NA,NA,177,10.922,2024-06-24 19:05:00,2024-06-24 22:00:00,1.08834645639621,0.04856373532437,2.91666666666667,2024-06-28 21:40:00,180,529.844,"3",61.722,NA,0,NA,15.35,25.9918904294893,0.908,-516.28,-20.239,-0.903,2.088,0.187,-0.640799999999999,-0.3451623553,7.126,2013.36,235.643,5.052,12.983,3.207,16.7952,1.8042881136
19,180,2024,"Strickers",0.455499999999988,-0.478833333333345,3,0.455499999999988,-5.21196666666667,NA,-0.478833333333345,-0.7318,NA,-17.9443333333339,-1.21100000000004,2,60.3766666666667,11.1633333333333,61.2876666666667,10.2056666666667,1.5088610390327,-8.5786802030459,NA,NA,181,33.401,2024-06-28 21:40:00,2024-06-29 01:55:00,1.03515199522113,0.13430076102282,4.25,2024-07-02 02:15:00,184,542.671,"4",69.723,-0.0972222222222001,NA,NA,15.3166666666667,24.2228363794604,NA,NA,NA,NA,NA,NA,NA,NA,15.48,2433.813,209.74,3.248,7.232,1.799,14.2873,2.7044955777
20,184,2024,"Strickers",6.89133333333333,-0.522000000000067,3,6.89133333333333,-3.21203333333333,3.63700303030306,-0.522000000000067,-1.139,0.195872727272731,6.77946111111111,0.60265,9,43.3433333333333,8.99466666666667,57.126,7.95066666666667,31.7988156579251,-11.6068781500163,83.9114749743073,21.7765409805141,184,63.246,2024-07-02 02:15:00,2024-07-02 22:30:00,1.04852938282368,0.28997461902289,20.25,2024-07-13 19:55:00,195,593.09,"4",94.488,NA,0.668888888888901,NA,15.2136363636364,25.0194682040531,-8.058,-602.309,-26.167,1.126,1.136,0.9565,-4.3794,0.4170560275,7.422,1831.504,183.573,4.374,8.368,2.7555,9.9079,3.1215516052
21,195,2024,"Strickers",-23.7426666666672,-2.88800000000005,3,-23.7426666666672,-25.8535333333333,NA,-2.88800000000005,-2.3115,NA,9.21330952380927,0.504999999999986,7,108.138333333333,13.5213333333333,60.653,7.74533333333333,-43.9116563660754,-42.7176807021011,NA,NA,196,83.058,2024-07-13 19:55:00,2024-07-14 20:10:00,0.956309676417313,0.351460544388497,24.25,2024-07-21 17:10:00,203,653.923,"11",14.605,NA,3.12,NA,14.9925925925926,26.325721106413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,203,2024,"Strickers",-16.7823333333332,-0.973333333333324,2,-5.25333333333337,NA,NA,-0.798500000000013,NA,NA,6.27566666666614,-0.623666666666611,2,117.529,10.568,100.746666666667,9.59466666666667,-14.2793126235509,-9.21019429724947,NA,NA,204,36.068,2024-07-21 17:10:00,2024-07-21 20:15:00,0.994139630767548,0.115556791930762,3.08333333333333,2024-07-23 07:10:00,205,737.743,"8",83.82,3.7277777777778,NA,NA,14.85,25.4791919368975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,205,2024,"Strickers",6.79200000000014,0.727500000000035,3,6.79200000000014,7.10006666666667,16.4828181818183,0.727500000000035,0.324566666666666,0.976360606060612,16.1004444444444,0.993827777777778,9,107.022333333333,8.971,120.606333333333,10.426,12.6926778522866,16.2189276557805,154.012883745308,108.83520299416,205,23.114,2024-07-23 07:10:00,2024-07-24 00:00:00,1.05855264595967,0.0507380187883302,16.8333333333333,2024-08-06 00:00:00,219,778.129,"2",119.888,0,0.68,0.68,14.6469696969697,26.2028905762135,NA,NA,NA,NA,NA,NA,NA,NA,5.341,4547.507,368.0175,5.013,10.256,2.915,6.6167,2.3028035541
24,219,2024,"Strickers",-73.6085000000012,-3.02683333333338,3,-73.6085000000012,-55.1631666666667,NA,-3.02683333333338,-2.12556666666667,NA,-0.822552380952384,-0.981409523809528,6,319.306,22.6583333333333,172.089,16.6046666666667,-46.105303376699,-26.7171754321446,NA,NA,219,32.004,2024-08-06 00:00:00,2024-08-06 04:00:00,0.905817972833811,0.143097303810759,4,2024-08-30 00:50:00,243,835.787,"14",6.858,0,0.1933333333333,0.1933333333333,14.1121212121212,22.4924785791173,0.136,196.77,-4.62,-24.289,-3.861,1.701,-1.5978,-2.5866522192,6.596,2962.057,375.167,3.586,9.821,3.116,7.2801,2.1685676719
26,263,2024,"Strickers",-14.3813333333336,-3.30400000000005,3,-14.3813333333336,NA,NA,-3.30400000000005,NA,NA,NA,NA,1,206.091333333333,22.669,177.328666666667,16.061,-13.956271814762,-29.1499404473074,NA,NA,264,24.892,2024-09-19 23:15:00,2024-09-20 03:30:00,0.839735929345193,0.0889965086239459,4.25,2024-09-21 15:00:00,265,873.76,"44",0,NA,NA,NA,12.2444444444444,23.4155543933054,NA,NA,NA,NA,NA,NA,NA,NA,13.33,5497.539,498.535,9.65,8.423,8.321,10.5282,NA
27,265,2024,"Strickers",-45.5888333333375,-5.34933333333375,3,-45.5888333333375,-48.0951,4.59794848484851,-5.34933333333375,-4.8619,-0.504372727272726,18.3863166666667,0.604616666666667,9,177.328666666667,16.061,86.151,5.36233333333333,-51.4173305312593,-66.6127057260912,25.9289632707356,-31.4035693464122,266,90.17,2024-09-21 15:00:00,2024-09-22 11:15:00,0.905425016211346,0.407098205197394,20.25,2024-10-30 17:30:00,304,898.652,"2",24.892,NA,NA,NA,11.9439393939394,20.5260260326276,-5.835,-3403.758,-310.013,NA,NA,NA,-4.2273,NA,7.495,2093.781,188.522,NA,NA,NA,6.3009,2.7529387221
28,304,2024,"Strickers",-20.7626666666667,-0.931666666666633,3,-20.7626666666667,-19.1171333333333,-7.37449696969696,-0.931666666666633,-0.586633333333333,-0.392172727272727,-5.32397222222222,-0.376211111111111,9,188.256333333333,12.216,146.731,10.3526666666667,-22.0578679070558,-15.2532198209992,-39.1726367932569,-32.1032029529082,305,72.39,2024-10-30 17:30:00,2024-10-31 02:30:00,0.827449303160422,0.349057955863728,9,2024-11-09 17:30:00,314,996.442,"39",1.524,NA,NA,NA,10.1378787878788,12.4365208333333,NA,NA,NA,NA,NA,NA,NA,NA,8.1315,2472.082,335.552,NA,NA,NA,8.0362,3.6013201651
29,209,2023,"Tiedemans",-2.28866666666649,-0.88149999999997,3,-2.28866666666649,0.962533333333334,NA,-0.88149999999997,0.406866666666665,NA,-1.44340697674418,0.174096899224807,5,73.67,14.0543333333333,69.0926666666667,12.2913333333333,-6.21329351613002,-12.544173801674,NA,NA,210,53.848,2023-07-28 21:30:00,2023-07-29 00:50:00,0.761980545975689,0.196958382925879,3.33333333333333,2023-08-14 05:00:00,226,292.227,"16",22.225,1.946,-0.0952200000000012,-2.04122,14.4954545454545,26.7893893232677,-2.44,-5934.713,-35.7165,2.035,-0.599,4.844,NA,-0.7738519873,10.47,2209.425,378.7325,4.764,2.992,13.075,NA,2.3944065306
32,92,2024,"Tiedemans",1.0456666666667,0.275333333333338,3,1.0456666666667,0.188133333333334,-0.00609090909090786,0.275333333333338,0.2446,0.0211969696969696,-0.19146111111111,-0.0333111111111111,9,21.9646666666667,1.03233333333333,24.056,1.583,9.52135247518776,53.3419438165977,-0.277304872563869,20.5330671911233,93,67.056,2024-04-01 13:55:00,2024-04-02 18:00:00,1.232742,0.158705,28.0833333333333,2024-05-07 14:00:00,128,119.888,"6",43.942,NA,0,NA,12.9909090909091,8.44095972222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,128,2024,"Tiedemans",0.587000000000012,-0.0279999999999989,2,2.18016666666671,8.93843333333333,2.53429090909091,0.00666666666666645,0.564233333333333,0.126927272727273,2.30864242424242,0.116490909090909,10,40.2126666666667,2.285,40.7996666666667,2.257,1.45973905402944,-1.22538293216625,63.022204672431,55.5480405808635,129,45.72,2024-05-07 14:00:00,2024-05-07 16:35:00,1.069175,0.0825910000000001,2.58333333333333,2024-05-21 19:30:00,142,202.565,"36",19.304,NA,NA,NA,14.5590909090909,19.4832189497083,-1.614,281.95,39.398,-0.273,-0.871,2.693,-16.4745,NA,5.827,1320.795,137.375,2.53,13.775,5.374,58.8807,1.8183352621
34,142,2024,"Tiedemans",-2.46233333333333,0.0636666666666759,3,-2.46233333333333,-4.87603333333333,NA,0.0636666666666759,-0.115133333333333,NA,-13.5189999999999,-0.710333333333326,2,105.258,6.103,100.333333333333,6.23033333333333,-4.67866258780013,2.08640559287812,NA,NA,143,47.625,2024-05-21 19:30:00,2024-05-22 03:00:00,0.9839831,0.1762459,7.5,2024-05-24 09:50:00,145,275.463,"14",16.51,2.8711111111111,0.190000000000001,-2.6811111111111,14.9125,20.5312741849278,-0.744000000000002,714.119,30.893,1.173,129.403,1.081,-20.5308,NA,8.527,2733.225,248.822,3.7,141.919,3.219,44.8769,1.6826353628
35,145,2024,"Tiedemans",-19.1821666666675,-0.864000000000044,3,-19.1821666666675,NA,NA,-0.864000000000044,NA,NA,5.62738333333331,0.308133333333332,6,86.8143333333333,5.52,48.45,3.792,-44.1912433814711,-31.3043478260885,NA,NA,146,52.578,2024-05-24 09:50:00,2024-05-25 06:00:00,1.080801,0.233414,20.1666666666667,2024-06-21 14:55:00,173,323.088,"3",55.753,-0.0961111111110995,0.0961111111110995,0.192222222222199,15.0833333333333,21.2840046278442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,180,2024,"Tiedemans",-8.47083333333303,-1.57766666666663,3,-8.47083333333303,-0.850333333333344,NA,-1.57766666666663,-0.540633333333335,NA,-10.3233333333336,-1.91466666666672,2,192.419666666667,26.2566666666667,175.478,23.1013333333333,-8.80454007646449,-12.0172654563918,NA,NA,181,33.401,2024-06-28 07:50:00,2024-06-29 02:00:00,1.021595,0.10705,18.1666666666667,2024-07-02 02:15:00,184,542.671,"35",69.723,-6.2866666666667,-0.287222222222201,5.9994444444445,15.3166666666667,24.1046048654626,3.589,NA,112.46,-3.011,-51.755,-0.726,-3.19055,NA,12.365,5306.318,622.2465,4.853,7.747,1.248,19.0563,NA
38,184,2024,"Tiedemans",-20.9011666666667,-3.17763333333333,4,-17.6586666666687,-20.9011666666667,1.38871212121216,-3.3555000000003,-3.17763333333333,-0.293160606060603,8.64520634920634,0.702527777777776,8,165.154666666667,21.1866666666667,113.895,12.9056666666667,-37.9665323817674,-44.9948080553807,8.40855513949847,-13.8370330110417,184,63.246,2024-07-02 02:15:00,2024-07-03 00:00:00,0.992154,0.228343,21.75,2024-07-13 19:55:00,195,593.09,"4",94.488,NA,0.0950000000000024,NA,15.2136363636364,25.8934845446951,7.418,-1196.701,-147.73,-0.128,-0.917999999999999,2.4,-5.6481,-0.4586449833,15.78,2658.869,287.538,4.923,9.534,5.653,13.8126,3.002428009
39,195,2024,"Tiedemans",-23.732666666667,-0.83183333333333,3,-23.732666666667,-18.1968,NA,-0.83183333333333,-0.3963,NA,9.6801666666665,0.769892857142845,7,158.737,15.841,111.271666666667,14.1773333333333,-29.9018712293504,-10.5022831050228,NA,NA,196,83.058,2024-07-13 19:55:00,2024-07-14 20:10:00,1.09712,0.21032,24.25,2024-07-21 15:45:00,203,653.923,"11",14.605,NA,-1.46,NA,14.9925925925926,26.9755403418489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,203,2024,"Tiedemans",-17.4979999999999,-5.81933333333328,2,-9.44300000000015,-2.4764,NA,-2.07900000000002,-1.39956666666667,NA,2.80095238095239,0.298933333333333,6,148.530333333333,17.9686666666667,131.032333333333,12.1493333333333,-11.7807585880324,-32.38600526843,NA,NA,204,36.068,2024-07-21 15:45:00,2024-07-21 20:55:00,1.020909,0.068255,5.16666666666667,2024-08-06 00:25:00,219,737.743,"8",83.82,NA,NA,NA,14.7166666666667,25.3477495283019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,265,2024,"Tiedemans",-28.0440000000013,-2.02416666666676,3,-28.0440000000013,-14.2720666666667,9.19923333333336,-2.02416666666676,-1.1678,0.225203030303032,14.2897555555556,0.527494444444444,9,182.149333333333,12.5066666666667,126.061333333333,8.45833333333333,-30.7923169267722,-32.3694029850762,50.503799080608,18.0066388835047,266,90.17,2024-09-21 15:30:00,2024-09-22 13:40:00,1.081086,0.286801,22.1666666666667,2024-10-30 17:30:00,304,898.652,"62",24.892,NA,NA,NA,11.9439393939394,20.600335300243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
